=== gen_modules.py run started 2026-06-17 03:51:08 ===
[03:51:08] INFO  Pool      : generated
[03:51:08] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated
[03:51:08] INFO  Max hours : 8.0  |  Target modules: 300
[03:51:08] INFO  Seed      : 2026
[03:51:08] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[03:51:08] INFO  Initial threshold: 0.58  weights: {}
[03:51:08] INFO  Starting — initial threshold 0.58
[03:51:08] INFO  Phases: [(0, 0.58), (300, 0.87), (500, 0.91)]
[03:51:08] INFO  SAVE # 134 | score=0.900 str=planned            | ent=4 (S,N,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE # 135 | score=0.905 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 136 | score=0.955 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 137 | score=0.968 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 138 | score=0.918 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 139 | score=0.947 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 140 | score=0.953 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 141 | score=0.969 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE # 142 | score=0.918 str=planned            | ent=3 (S,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 143 | score=0.942 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 144 | score=0.947 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 145 | score=0.809 str=planned            | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE # 146 | score=0.973 str=planned            | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 147 | score=0.923 str=planned            | ent=4 (N,S,E,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
